id,factor,category,subcategory,prime
243,Nihtmare/paralizing,SDOH,environmental,false
244,Reading/dizzy,SDOH,environmental,false
245,Road rage,SDOH,travel,false
246,Mom still in hospital,SDOH,wellness,false
247,Weird eating times,SDOH,environmental,false
248,Writing a term paper,SDOH,screen time,false
249,Degrading words,SDOH,other,false
250,Work,SDOH,other,false
251,Fast moving car both frontwards and backwards lots of fast movement,SDOH,wellness,false
252,It has been chilly so i turned on the heat.,SDOH,environmental,false
253,Poor nalence,medical,sleep,false
254,Poor balance,medical,sleep,false
255,Mold,SDOH,environmental,false
256,"Slurring, dizzy, vertigo, head pressure/headaches, vision issues, noise and light sensitivity, lightheadedness, slower limb reaponse, more",medical,cognitive,false
257,Walked on monday about 4 miles!,SDOH,wellness,false
258,Getting dressed,SDOH,environmental,false
259,None- it was a perfect weather day,SDOH,environmental,false
260,Watched video of bue angels,SDOH,environmental,false
261,Balance,medical,sleep,false
262,"Unable to speak,",medical,cognitive,false
263,"Ataxia, spasticity, tone and loss of movement on one side of body",medical,sleep,false
264,Eyes off slightly in viewing,medical,cognitive,false
265,"Pulmonary congestion, sickness leads to seizures",SDOH,other,false
266,Kimmy is in a wheelchair,SDOH,travel,false
267,Severe sleep apnea shutting lungs off 566 times in 6 and half hour time,medical,sleep,false
268,Balance issues,medical,cognitive,false
269,I walked almost 4 miles on saturday.,SDOH,wellness,false
270,Depression at missing daughter,SDOH,wellness,false
271,Shopping,SDOH,environmental,false
272,Dryness,SDOH,environmental,false
273,Too active did a lot around the house,SDOH,wellness,false
274,Destress,SDOH,wellness,false
275,Won’t let me skip this section,medical,cognitive,false
276,Drive & driven & wals busy city streets,SDOH,travel,false
277,Hospitals & unfamiliar places,SDOH,environmental,false
278,"Overstimulation, neurofatigue",SDOH,environmental,false
279,Sleep extent,SDOH,wellness,false
280,"Walked with my friend, tracee",SDOH,wellness,false
281,"Swallowing issues,eye pain,",medical,sleep,false
282,Eye spasms,medical,sleep,false
283,Cognitive fatigue,medical,cognitive,false
284,Word loss,medical,cognitive,false
285,Problems focusing,medical,sleep,false
286,Uneven ground,SDOH,other,false
287,Music too loud,SDOH,environmental,false
288,"Sore shoulders, especially the right shoulder",medical,sleep,false
289,Sore neck,medical,sleep,false
290,Sore back,medical,sleep,false
291,Anxiety in vehicles,medical,emotional,false
292,Sadness/crying due to mva and the aftermath of it.,medical,emotional,false
293,Talking to multiple people at once,SDOH,environmental,false
294,Walks,SDOH,wellness,false
295,Being in any vehicle,SDOH,travel,false
296,Assessments/long appointments,SDOH,other,false
297,Sitting in one spot for a period of time,SDOH,other,false
298,Phone calls,SDOH,wellness,false
299,Sleep issues,SDOH,wellness,false
300,Sad and upset about my situation,medical,emotional,false
301,Anxiety in vehicle,medical,emotional,false
302,I do not have the ability to sleep anymore.,medical,sleep,false
303,Full moon,SDOH,environmental,false
304,Problems swallowing,medical,sleep,false
305,Scalp sensitivity,medical,sleep,false
306,Facial numbness,medical,sleep,false
307,Spouse,SDOH,environmental,false
308,Foods,SDOH,wellness,false
309,Zoom meeting.,SDOH,screen time,false
310,Prep for mediation,SDOH,wellness,false
311,"So much news hype about election, covid,...extreme",SDOH,wellness,false
312,Grocery store,SDOH,other,false
313,"Tablet was kimmy's friend and she watched a small amount of a video today!",SDOH,screen time,false
314,We got kimmy on her tummy.,SDOH,wellness,false
315,Painting today and kimmy loved it.  stayed alert for most of it.,SDOH,environmental,false
316,Indoor lighting,SDOH,environmental,false
317,Snow,SDOH,environmental,false
318,,SDOH,travel,false
319,Lots of cars on the road on my way home,SDOH,travel,false
320,Parking garage,SDOH,environmental,false
321,Weather,SDOH,wellness,false
322,Backseat,SDOH,travel,false
323,Wake up alot,medical,sleep,false
324,Paint fumes,SDOH,environmental,false
325,Blinking,medical,sleep,false
326,Tics,medical,sleep,false
327,"Tingling in hands at times, neck pain, trigeminal and occipital nerve pain during flare ups, left sided eye, ear, leg and neck pain, muscle loss on left leg",medical,sleep,false
328,Mild white matter loss and inflammatory findings,medical,cognitive,false
329,"Re occurring ebv, cmv, chronic sinusitis, left nasal congestion, staph infections,",SDOH,other,false
330,"Fasting, high fat/protein diet, phenols, food additives",SDOH,wellness,false
331,"Infections, stress, physical activity",SDOH,environmental,false
332,Change in expected events,SDOH,other,false
333,Grocery shopping,SDOH,travel,false
334,Headache!,SDOH,environmental,false
335,Doctor appointment,SDOH,wellness,false
336,Mandatory masks =ptsd trigger from near drowning,SDOH,environmental,false
337,Organ practice,SDOH,screen time,false
338,Choosing music,SDOH,screen time,false
339,Practicing and choosing music,SDOH,screen time,false
340,Hyperacusis and photophobia,medical,sleep,false
341,High pitched noises,SDOH,other,false
342,Played organ for worship service.,SDOH,screen time,false
343,Sewing,SDOH,other,false
344,Sorting,SDOH,other,false
345,Grandkids,SDOH,other,false
346,Family,SDOH,other,false
347,Cleaning,SDOH,other,false
348,Began during sleep,SDOH,wellness,false
349,Bright lights at store,SDOH,environmental,false
350,Tripped,SDOH,wellness,false
351,Pt,SDOH,wellness,false
352,Loss of vision,medical,sleep,false
353,Nightmares,medical,sleep,false
354,Focal seizures,medical,cognitive,false
355,House chores,SDOH,wellness,false
356,Cold wind,SDOH,environmental,false
357,Tax webinar continuing education,SDOH,screen time,false
358,A lot of planning,SDOH,wellness,false
359,Poor sleep,SDOH,wellness,false
360,Composing letter,SDOH,screen time,false
361,Menards,SDOH,environmental,false
362,Auditory processing deficit,medical,cognitive,false
363,Emotional lability,medical,emotional,false
364,Wind,SDOH,environmental,false
365,Test driving,SDOH,travel,false
366,Physio,SDOH,environmental,false
367,High wind,SDOH,environmental,false
368,Thunder storms,SDOH,environmental,false
369,Trip,medical,sleep,false
370,Family issues,SDOH,other,false
371,"Loud car stereos; drive thru's; masks",SDOH,other,false
372,Just moving around,SDOH,wellness,false
373,"Being observed, being timed, being pressured/rushed",SDOH,other,false
374,No emotions,medical,emotional,false
375,Mild sleep apnea,medical,sleep,false
376,Restless legs,medical,sleep,false
377,Unrested sleep,medical,sleep,false
378,Not understanding,SDOH,other,false
379,Any bright lights,SDOH,environmental,false
380,Any lights,SDOH,environmental,false
381,Scent sensitivity,medical,sleep,false
382,"Cognitive fatigue,",medical,cognitive,false
383,"Difficulty reading,",medical,cognitive,false
384,Difficulty in busy environments and high-sensory environments,medical,cognitive,false
386,Strong smells,SDOH,other,false
387,Visually busy environments,SDOH,environmental,false
388,Add meds,SDOH,wellness,false
389,Good sleep,SDOH,wellness,false
390,Good social interaction,SDOH,wellness,false
391,Reading,SDOH,other,false
392,Electronic lighting (esp. leds),SDOH,environmental,false
393,Other peoples behavior,SDOH,other,false
394,Passing out,medical,sleep,false
395,Low blood pressure,medical,sleep,false
396,Sleep paralysis. nightmares.,medical,sleep,false
397,"If i’m not driving, i’m fighting off a panic attack",SDOH,travel,false
398,Twitching,medical,sleep,false
399,Prolonged activity and talking and listening,SDOH,other,false
400,Multiple people talking,SDOH,environmental,false
401,Sometimes exercise,SDOH,wellness,false
402,Very jumpy -- easily startled,medical,emotional,false
403,Frequent insomnia,medical,sleep,false
404,"Neck pain, dry eyes",medical,sleep,false
405,"Noise sensitivity, headache, easily overwhelmed",medical,cognitive,false
406,"Sensitive to bright light, easily confused, sensitive to stimulation",medical,cognitive,false
407,"Over-stimulation, inability to filter well",SDOH,other,false
408,Add medication,SDOH,wellness,false
409,"Only 2 cups of coffee, done drinking at 9 am",SDOH,wellness,false
410,Fear,medical,emotional,false
411,Emotional control,medical,cognitive,false
412,Slower sequential linear processing,medical,cognitive,false
413,"Someone's tone of voice",SDOH,other,false
414,Someone angry or yelling at me,SDOH,other,false
415,Overcast,SDOH,environmental,false
416,Bright snow,SDOH,environmental,false
417,Windy,SDOH,environmental,false
418,Housework,SDOH,wellness,false
419,Music,SDOH,environmental,false
420,Mood disorder,SDOH,wellness,false
421,Fight alot,medical,emotional,false
422,Hunger,SDOH,wellness,false
423,Executive functions,medical,cognitive,false
424,Napping daily,medical,sleep,false
425,"Stress, misunderstanding what is being said, frustration from slowed cognitive processing etc",SDOH,other,false
426,"Disorganized, cant drive",SDOH,other,false
428,Convergence disorder,SDOH,screen time,false
429,Lack of support system,SDOH,other,false
430,Movie theatre,SDOH,screen time,false
431,"Multiple conversations at once, multi patterns, motion in periphreal vision, fast movement, turning head fast, looking up",SDOH,environmental,false
432,"Ocular migraines, auras",SDOH,environmental,false
433,Low blood sugar,SDOH,wellness,false
434,"Loss of independence, loss of job, home displacement, lack of understanding from attorneys and family",SDOH,other,false
435,Lots fights,medical,emotional,false
436,I had a fight w mom,SDOH,other,false
437,"People who talk fast and don't pause when talking.",SDOH,environmental,false
438,"Large store, bright lights",SDOH,environmental,false
439,Fever 100.4,SDOH,wellness,false
440,Virtual dr appt,SDOH,screen time,false
441,Reading the bible and praying.,SDOH,wellness,false
442,Group business meeting,SDOH,environmental,false
443,Restaurant,SDOH,environmental,false
444,Support group on line,SDOH,wellness,false
445,Store,SDOH,environmental,false
446,Visual clutter,SDOH,environmental,false
385,Hiking,SDOH,travel,true
447,Woodmans (candy bars),SDOH,environmental,false
448,Cleaning/organizing,SDOH,wellness,false
449,Too much information at one time,SDOH,other,false
450,A lot of switching in conversations,SDOH,environmental,false
451,Reading recipies,SDOH,environmental,false
452,Few breaks,SDOH,environmental,false
453,Organ/piano,SDOH,screen time,false
454,Swollen left foot,SDOH,wellness,false
455,Christmas lights,SDOH,environmental,false
456,Capi into lots stressful,SDOH,environmental,false
457,Flu like symptoms,SDOH,wellness,false
458,Mask,SDOH,wellness,false
459,Cold,SDOH,environmental,false
460,Wearing a mask is bad only equilibrium.,SDOH,wellness,false
461,Many people wearing masks ptsd trigger 2 hours,SDOH,environmental,false
464,Different noises,SDOH,environmental,false
465,People making eye contact,SDOH,other,false
466,Strangers,SDOH,environmental,false
467,Communication and emotional understanding,SDOH,other,false
468,"Slow movement, some balance issues",medical,sleep,false
469,Some irritability/ decrease affect,medical,emotional,false
470,Too much brain stimulation,SDOH,other,false
471,Loss of motor skills,medical,sleep,false
472,Hemiplegia,medical,cognitive,false
473,Florescent light,SDOH,environmental,false
474,Working memory difficulties,medical,cognitive,false
475,"Executive function challenges (planning, organizing, prioritizing",medical,cognitive,false
476,Initiation challenges,medical,cognitive,false
477,Inhibition challenges,medical,cognitive,false
478,Med change,SDOH,wellness,false
479,"Dizziness, headaches, pressure in head, neck pain",medical,cognitive,false
480,Neck cracking and neck pain,medical,sleep,false
481,Poor positioning,SDOH,other,false
482,Partial left side paralysis,medical,cognitive,false
483,Headlights,SDOH,travel,false
484,Florescent lights,SDOH,environmental,false
485,Working,SDOH,screen time,false
487,"Left hemiparis, central pain syndrome, chronic pain multiple spine and muscle issues",medical,sleep,false
488,9,SDOH,wellness,false
489,Covid bs restrictions & ptsd masking trigger,SDOH,environmental,false
490,Cerebral palsy,medical,sleep,false
491,Non verbal,medical,cognitive,false
492,Looking out the window,SDOH,travel,false
493,"I used to need sweets, for 2 years i have difficulty with sweets, teeth are all fractured and broken or missing which is 24/7 pain.",medical,sleep,false
494,Head to toe pains,medical,sleep,false
495,"Dizzy nausea stomach issues 24/7 pains migraines head ears face pains, water in right ear",medical,cognitive,false
496,Forgetting to eat. mood swings. menopause. changes in my day.,SDOH,other,false
497,Adrenaline,SDOH,wellness,false
498,Appetite,SDOH,wellness,false
499,Trip all the time,medical,sleep,false
500,Hurricane,SDOH,environmental,false
501,3.4 mi hike too far,SDOH,wellness,false
502,Uber,SDOH,travel,false
503,Extra work,SDOH,environmental,false
504,Fucking medical appt and life threatening fears,SDOH,environmental,false
505,Newspaper,SDOH,screen time,false
506,Cross eyed,medical,sleep,false
507,Many people wearing masks,SDOH,environmental,false
508,Trouble staying organized,medical,speech,true
509,Trouble managing daily tasks,medical,speech,true
510,Less responsive to the environment,medical,speech,true
511,Limited social engagement,medical,speech,true
512,Difficulty expressing needs,medical,speech,true
513,Limited communication,medical,speech,true
514,Trouble remembering names,medical,speech,true
515,Challenging to count to 10,medical,speech,true
516,Struggles to multitask,medical,speech,true
517,Trouble with self-discipline,medical,speech,true
518,Difficult to understand abstract ideas,medical,speech,true
519,Difficult to plan in advance,medical,speech,true
520,Uncomfortable eyes,medical,vision,true
521,Double vision,medical,vision,true
522,Bothered by light,medical,vision,true
523,Trouble perceiving depth,medical,vision,true
524,Distorted side vision,medical,vision,true
525,Dry eyes,medical,vision,true
526,Irritated by visually-busy places,medical,vision,true
527,Words move when reading,medical,vision,true
528,Chronically Itchy,medical,vision,true
529,Line skipping: when reading text (paper or computer) I skip lines,medical,vision,true
530,Eyes get tired (fatigued) very easily or quickly: when doing close work,medical,vision,true
531,"Headaches caused by close work: computers, reading, gaming",medical,vision,true
532,Customer service to ignorant customer,SDOH,environmental,false
533,,SDOH,environmental,false
534,Snow/snow shoveling,SDOH,environmental,false
535,Idk,SDOH,screen time,false
536,Eating out in a masked restaurant,SDOH,environmental,false
537,"Over-thinking, and too much information.",medical,cognitive,false
538,Opinions,SDOH,other,false
539,None today,SDOH,screen time,false
540,Thoughts/opinions,SDOH,screen time,false
541,Loud music,SDOH,environmental,false
542,Tiredness,SDOH,wellness,false
543,Migraine,SDOH,wellness,false
544,"Depends if flared up, when flared up all of the above- otherwise no feeling. ocd, adhd",medical,emotional,false
545,"Ticks, mood issues, no feelings at all- hollow",medical,cognitive,false
546,Eyes track slowly.,medical,vision,false
548,Apraxia,medical,cognitive,false
549,Aphasia,medical,cognitive,false
547,Running,SDOH,other,true
550,New environments,SDOH,other,false
551,Activity,SDOH,other,false
552,"Still trying to gather things for attorneys trying to get justice for my subarachnoid hemorrhage, moderate tbi case the aig insurance paid np to say no tbi but depression",SDOH,wellness,false
553,Traffic passing fast,SDOH,travel,false
554,Not known,medical,sleep,false
555,Hurried,SDOH,wellness,false
556,Too many situps,SDOH,wellness,false
557,Overload of stimuli: all senses,SDOH,environmental,false
558,Not taking meds as scribed,SDOH,wellness,false
559,Mmj in pm,SDOH,wellness,false
560,Visual spatial issues,SDOH,environmental,false
561,Mmj in am,SDOH,wellness,false
562,Forgetful,medical,speech,false
563,Angry w/ me,medical,emotional,false
564,Sleep apnea previous/pain effects sleep,medical,sleep,false
565,Sometimes extreme yawning,medical,sleep,false
566,Me,SDOH,other,false
567,Talks loud and denies it/then gets mad for me telling him to lower his voice,SDOH,other,false
568,High bg,SDOH,wellness,false
569,Right lumbar,SDOH,wellness,false
570,Sad,medical,emotional,false
571,No food,SDOH,other,false
572,,SDOH,other,false
573,Seeing things that aren’t there.,SDOH,other,false
574,Sweating due to the drug i think,SDOH,wellness,false
575,No friends,SDOH,environmental,false
576,Covid/allergies,SDOH,wellness,false
577,Too much to type,SDOH,other,false
578,Anything that moves,SDOH,travel,false
579,Covid,SDOH,travel,false
580,Busy grocery store,SDOH,environmental,false
581,Neuro fatigue,SDOH,wellness,false
582,Watery eyes,medical,vision,false
583,Poor body temp reg,medical,sleep,false
584,Close eye work,SDOH,environmental,false
585,Too much on plate,SDOH,environmental,false
586,Busy/time sensitivity,SDOH,environmental,false
587,Can’t remember how to spell!,medical,cognitive,false
588,Anoxic brain injury,medical,cognitive,false
589,6,SDOH,screen time,false
590,Nausea (like motion sickness comes and goes),medical,sleep,false
591,Klonic jerks randomly in body,medical,sleep,false
592,Mood instability and cognitive flooding,medical,cognitive,false
593,Avoiding tasks/established schedule,medical,speech,false
594,Incompetence or rushing me,SDOH,other,false
595,Joint pain/chronic pain,SDOH,wellness,false
596,Amenorrhea,SDOH,wellness,false
597,In process,SDOH,wellness,false
598,I should have soe caffeine.,SDOH,wellness,false
599,Gfgfgfgf,medical,vision,false
600,"Had many of these, but have overcome.",medical,vision,false
601,My family,SDOH,other,false
602,Msg gluten,SDOH,other,false
603,Over working myself,SDOH,other,false
604,Kids here,SDOH,environmental,false
605,No menstrual cycle since stroke,SDOH,wellness,false
606,Insomnia,SDOH,wellness,false
607,A mix of both,SDOH,screen time,false
608,Long covid,SDOH,wellness,false
609,Bad allergies,SDOH,wellness,false
610,All-over-head headache,SDOH,wellness,false
611,Bad flu,SDOH,wellness,false
612,Enormous fatigue,SDOH,wellness,false
613,Jaw,medical,sleep,false
614,Computer video chat yesterda,SDOH,screen time,false
615,Transference of short term memories to long term,medical,cognitive,false
616,Time change,SDOH,environmental,false
617,Tbd,SDOH,wellness,NULL
618,Money,SDOH,other,NULL
619,Speaking it out,SDOH,wellness,NULL
620,Fight a lot,medical,emotional,NULL
621,Keuyboard,SDOH,screen time,NULL
622,Pollen,SDOH,environmental,NULL
623,Bad food,SDOH,wellness,NULL
624,Hydration,SDOH,wellness,NULL
625,"'",medical,emotional,NULL
626,Does not apply,SDOH,other,NULL
627,Neuropathy,medical,physical,NULL
628,Rest/relaxation,SDOH,wellness,NULL
629,Hydration and communication,SDOH,wellness,NULL
630,School demands,SDOH,other,NULL
631,Long work hours,SDOH,wellness,NULL
632,"Head pain  and pressure on sinus,jaw inner ear,soft part just under base of skull,top of neck going into collar bone area",medical,cognitive,NULL
633,Glands rising and falling sometimes up like golfballs,medical,cognitive,NULL
634,Weakness right-side has been with me since having a sudden thunderbolt of headpain.not like a tight band but like rods jammed into different parts of my head.behind ear area and side of impact especially,medical,cognitive,NULL
635,"The need to lie down several times a day even though i've had 10 plus hours sleep.",medical,cognitive,NULL
636,Trouble.shutting off.exhausted even of not moving .,medical,cognitive,NULL
637,Weight gain and circulation problems,medical,cognitive,NULL
638,Right foot oddly has now circulation problems goes purply .,medical,cognitive,NULL
639,Constant drone noise in ear side of impact 24/7 tinnitus on left ear when tired or stressed,medical,cognitive,NULL
640,Touch sensitivity,medical,cognitive,NULL
641,Feeling of i need to crick my neck but cant,medical,cognitive,NULL
642,Nausea and balance problems,medical,cognitive,NULL
643,Light and sound sensitivity,medical,cognitive,NULL
644,Not constipation  but sudden need to go there and then.,medical,sleep,NULL
645,Swallowing at times hard.,medical,sleep,NULL
646,A feeling i have to be flat on emotions because over emotion causes headpain and o crash.,medical,emotional,NULL
647,Nothing like headache or migrane its chronic headpain.,medical,physical,NULL
648,Smell of metal or ashlike.erm sulphur.,medical,physical,NULL
649,Difficulty learning new,medical,speech,NULL
756,Overeating,SDOH,wellness,NULL
757,Refusals,SDOH,environmental,NULL
750,:??,SDOH,other,NULL
